ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
968,1,40,2,5,5,0,1,1,0,14,12,12,97,12,12,1,12,2,2,0,2,2,2,1,1,1,1,2,1,1,1,2
969,2,26,2,4,6,3,2,2,0,12,16,11,97,12,9,1,0.75,2,2,0,2,2,1,2,1,0,1,1,0,0,0,0
970,2,60,3,3,4,3,2,2,0,11,14,97,97,12,12,1,15,1,2,0,3,0,3,1,1,1,1,0,0,0,0,0
971,1,32,1,1,1,4,2,2,0,16,97,19,12,12,12,2,2,2,1,1,3,2,3,1,2,1,0,1,0,0,0,0
972,2,54,1,3,0,3,2,2,0,13,12,12,97,12,12,1,5,2,2,0,1,0,2,1,1,1,1,0,2,2,2,1
973,1,27,1,5,2,0,1,1,0,12,10,97,97,12,12,1,0.75,2,2,0,2,0,3,2,2,0,0,0,0,0,0,0
974,2,27,2,5,7,1,2,1,1,14,11,97,97,11,11,1,0.75,2,2,0,1,2,2,1,2,1,0,2,0,0,0,0
975,1,34,1,5,3,2,1,1,0,12,16,12,97,12,12,1,3,2,2,0,2,2,2,2,2,0,0,2,1,1,2,1
976,2,37,1,1,2,2,2,2,0,16,16,17,17,0,12,7,-1,1,2,1,0,2,1,1,1,2,2,1,0,0,0,0
977,1,41,1,1,3,5,2,2,0,16,8,3,18,12,12,1,15,2,2,7,1,2,1,2,2,0,0,1,0,0,0,0
978,2,32,1,3,5,2,1,1,0,13,12,16,97,13,13,1,9,2,2,0,2,0,1,2,2,0,0,0,1,1,2,1
979,1,43,1,5,1,0,1,1,0,18,12,14,97,0,9,4,-1,2,2,0,0,2,2,1,1,1,2,1,3,2,2,1
980,1,42,1,1,2,2,2,2,0,18,97,14,12,12,12,1,13,2,2,1,3,2,2,1,1,2,2,1,0,0,0,0
981,1,57,1,1,3,2,4,2,0,17,9,11,17,12,12,1,14,2,2,1,1,0,1,3,1,0,1,0,0,0,0,0
982,2,43,1,1,1,2,3,3,0,16,14,13,20,12,12,1,10,1,2,1,2,2,2,1,1,1,1,2,3,2,2,1
983,1,41,1,5,4,0,2,2,0,18,97,16,97,0,12,8,-1,2,1,0,0,4,2,1,1,2,3,2,0,0,0,0
984,1,77,3,5,2,2,2,2,0,13,4,2,97,0,5,5,-1,2,2,0,0,1,1,1,1,1,1,2,1,1,1,1
985,1,46,1,1,1,2,4,2,0,16,16,16,14,12,12,1,16,2,1,7,2,0,2,1,1,1,1,0,2,2,2,1
986,2,50,1,5,1,0,1,1,0,20,16,14,97,12,12,1,2,2,2,0,1,2,2,1,1,2,8,2,3,3,2,1
987,1,25,1,5,2,0,2,2,0,17,16,16,97,5,12,1,2,2,2,0,2,1,1,2,1,0,1,2,4,4,2,1
988,2,37,1,1,2,0,2,2,0,16,16,11,16,12,13,1,14,2,2,1,2,0,1,1,1,2,4,0,4,2,2,1
989,2,60,1,1,1,4,2,2,0,13,14,12,16,1,12,2,0.25,2,2,1,2,4,3,1,2,2,0,2,0,0,0,0
990,1,57,1,1,1,2,4,2,9,13,12,12,16,9,12,2,17,2,2,1,2,0,3,1,1,2,2,0,0,0,0,0
991,2,38,3,1,5,2,2,2,0,12,12,12,12,0,8,7,-1,0,0,1,0,2,3,2,2,0,0,2,1,1,8,8
992,1,25,1,5,1,0,4,4,0,14,13,13,97,9,12,2,1,2,2,0,2,0,3,2,2,0,0,0,8,8,2,1
993,1,34,1,5,1,0,3,3,0,16,13,97,97,7,12,4,-1,2,2,0,0,3,2,1,1,1,1,2,4,4,2,1
994,1,65,1,1,2,1,2,2,0,13,98,12,12,0,12,5,-1,2,2,1,0,0,2,1,1,2,2,0,0,0,0,0
995,2,34,1,5,2,0,1,1,0,12,13,97,97,12,12,1,1,2,2,0,2,2,2,2,2,0,0,2,2,1,8,1
996,2,34,1,5,2,0,1,1,0,15,12,12,97,10,10,2,3,2,2,0,3,3,3,1,1,1,1,2,0,0,0,0
997,2,40,1,5,5,5,4,2,1,14,13,97,97,0,6,4,-1,2,2,0,0,2,3,1,2,2,0,2,0,0,0,0
998,2,26,1,5,2,1,2,2,0,15,14,97,97,0,12,1,0.25,1,2,0,1,0,2,2,2,0,0,0,3,3,2,1
999,2,23,1,5,4,0,2,2,0,13,18,16,97,9,10,1,3,2,2,0,2,2,2,3,2,0,0,2,0,0,0,0
1000,2,24,1,5,1,0,2,2,0,12,12,12,97,12,12,1,3,2,2,0,2,2,2,3,1,0,2,2,3,3,2,1
1001,2,28,1,1,2,0,2,2,0,16,12,18,16,0,12,2,0.25,2,2,1,1,0,2,8,1,0,2,0,2,2,2,1
1002,2,56,1,4,2,2,6,6,0,15,15,14,97,0,12,7,-1,2,2,0,0,0,2,1,1,1,1,0,0,0,0,0
1003,1,84,1,1,2,3,2,2,0,16,12,8,13,0,12,5,-1,1,2,8,0,2,2,1,1,2,2,2,0,0,0,0
1004,2,42,1,3,6,3,2,2,0,16,13,97,97,9,11,2,1,1,1,0,2,2,3,1,1,1,1,2,0,0,0,0
1005,1,44,3,5,1,0,1,1,0,20,9,9,97,13,13,1,2,1,2,0,1,0,2,1,1,1,1,0,3,3,2,1
1006,1,51,3,3,2,3,3,3,0,20,20,16,97,12,13,3,11,2,2,0,1,0,2,3,3,0,0,0,1,1,1,1
1007,1,61,2,3,3,3,1,1,0,16,13,9,97,12,12,1,10,2,2,0,2,1,1,1,2,1,0,2,0,0,0,0
1008,2,37,1,1,2,2,4,2,1,16,12,12,14,12,12,3,12,1,2,1,1,1,2,1,1,1,1,2,0,0,0,0
1009,1,39,1,3,1,2,1,1,0,16,14,14,97,12,12,1,15,2,2,0,2,0,2,1,1,1,2,0,0,0,0,0
1010,1,65,3,4,1,2,2,2,0,18,14,14,97,13,13,1,20,2,1,0,1,0,2,1,1,2,2,0,4,4,2,1
1011,2,39,1,2,3,2,2,1,0,14,12,12,97,10,12,2,9,2,2,0,1,3,3,1,2,1,0,2,4,2,2,1
1012,2,26,2,5,4,0,1,1,0,13,12,97,97,12,12,1,3,2,2,0,1,1,1,2,1,0,1,2,0,0,0,0
1013,2,55,1,1,2,5,2,2,0,16,12,10,12,12,12,1,17,2,2,1,2,0,2,1,1,2,2,0,1,1,2,1
1014,2,51,1,1,5,2,3,3,0,16,12,12,18,12,12,1,2,2,2,3,2,1,2,1,1,2,2,2,1,1,2,1
